ensembl_id,hgnc_symbol,hgnc_id,go_name,go_id,go_domain,ncon_gene,ncon_go,global_padj,gene_padj,pval,sim,sem_sim,cilow_global_padj,ciupp_global_padj,cilow_gene_padj,ciupp_gene_padj,cilow_pval,ciupp_pval
ENSG00000168779,SHOX2,10854,"DNA-binding transcription factor activity, RNA polymerase II-specific",GO:0000981,molecular function,7,48.0,9.128e-02,1.817e-02,8.696e-03,9.354e-01,4.559e-03,8.373e-02,9.952e-02,1.268e-02,2.604e-02,7.049e-03,1.073e-02
ENSG00000168779,SHOX2,10854,sequence-specific double-stranded DNA binding,GO:1990837,molecular function,7,38.0,9.128e-02,1.817e-02,1.185e-02,9.175e-01,4.341e-03,8.373e-02,9.952e-02,1.268e-02,2.604e-02,9.995e-03,1.404e-02
ENSG00000168779,SHOX2,10854,regulation of transcription by RNA polymerase II,GO:0006357,biological process,7,81.0,9.128e-02,1.823e-02,1.348e-02,9.077e-01,1.113e-02,8.373e-02,9.952e-02,1.266e-02,2.625e-02,9.153e-03,1.987e-02
ENSG00000168779,SHOX2,10854,nucleus,GO:0005634,cellular component,7,143.0,9.892e-02,4.067e-02,4.067e-02,8.117e-01,4.509e-03,9.191e-02,1.065e-01,3.653e-02,4.529e-02,3.653e-02,4.529e-02
ENSG00000165588,OTX2,8522,"DNA-binding transcription activator activity, RNA polymerase II-specific",GO:0001228,molecular function,16,11.0,1.022e-01,1.212e-01,4.135e-02,8.084e-01,1.999e-02,9.042e-02,1.155e-01,6.641e-02,2.211e-01,2.585e-02,6.613e-02
ENSG00000165588,OTX2,8522,dopaminergic neuron differentiation,GO:0071542,biological process,16,3.0,1.048e-01,1.212e-01,3.692e-02,8.175e-01,3.452e-02,8.506e-02,1.292e-01,6.641e-02,2.211e-01,1.659e-02,8.216e-02
ENSG00000165588,OTX2,8522,"DNA-binding transcription factor activity, RNA polymerase II-specific",GO:0000981,molecular function,16,48.0,1.102e-01,1.212e-01,5.031e-02,7.866e-01,2.713e-02,9.082e-02,1.337e-01,6.641e-02,2.211e-01,2.687e-02,9.419e-02
ENSG00000165588,OTX2,8522,RNA polymerase II cis-regulatory region sequence-specific DNA binding,GO:0000978,molecular function,16,54.0,1.109e-01,1.212e-01,5.255e-02,7.824e-01,2.552e-02,9.088e-02,1.354e-01,6.641e-02,2.211e-01,2.947e-02,9.370e-02
ENSG00000165588,OTX2,8522,sequence-specific double-stranded DNA binding,GO:1990837,molecular function,16,38.0,1.133e-01,1.212e-01,5.416e-02,7.785e-01,2.886e-02,9.141e-02,1.405e-01,6.641e-02,2.211e-01,2.806e-02,1.045e-01
ENSG00000165588,OTX2,8522,regulation of transcription by RNA polymerase II,GO:0006357,biological process,16,81.0,1.206e-01,1.385e-01,6.838e-02,7.551e-01,1.333e-02,1.058e-01,1.376e-01,9.851e-02,1.946e-01,5.184e-02,9.022e-02
ENSG00000165588,OTX2,8522,positive regulation of transcription by RNA polymerase II,GO:0045944,biological process,16,65.0,1.429e-01,1.670e-01,9.451e-02,7.138e-01,2.361e-02,1.111e-01,1.839e-01,1.357e-01,2.057e-01,6.013e-02,1.485e-01
ENSG00000165588,OTX2,8522,protein-containing complex assembly,GO:0065003,biological process,16,48.0,1.452e-01,1.557e-01,7.501e-02,7.270e-01,6.771e-02,8.278e-02,2.548e-01,6.111e-02,3.967e-01,1.981e-02,2.840e-01
ENSG00000165588,OTX2,8522,growth cone,GO:0030426,cellular component,16,4.0,2.075e-01,2.244e-01,1.654e-01,6.236e-01,5.276e-02,1.244e-01,3.462e-01,1.342e-01,3.751e-01,7.931e-02,3.450e-01
ENSG00000165588,OTX2,8522,nucleus,GO:0005634,cellular component,16,143.0,2.159e-01,2.323e-01,1.808e-01,6.166e-01,2.866e-02,1.634e-01,2.854e-01,1.401e-01,3.852e-01,1.196e-01,2.734e-01
ENSG00000165588,OTX2,8522,protein-containing complex,GO:0032991,cellular component,16,353.0,2.343e-01,2.502e-01,1.982e-01,5.958e-01,4.337e-02,1.532e-01,3.582e-01,1.437e-01,4.356e-01,1.067e-01,3.684e-01
ENSG00000165588,OTX2,8522,protein binding,GO:0005515,molecular function,16,577.0,2.822e-01,2.790e-01,2.601e-01,5.494e-01,2.521e-02,2.220e-01,3.589e-01,1.913e-01,4.067e-01,1.915e-01,3.531e-01
