ensemblID	Symbol
ENSG00000009780	FAM76A
ENSG00000142910	TINAGL1
ENSG00000117480	FAAH
ENSG00000081985	IL12RB2
ENSG00000197921	HES5
ENSG00000116285	ERRFI1
ENSG00000169641	LUZP1
ENSG00000131781	FMO5
ENSG00000162747	FCGR3B
ENSG00000198682	PAPSS2
ENSG00000235823	OLMALINC
ENSG00000197142	ACSL5
ENSG00000095627	TDRD1
ENSG00000150054	MPP7
ENSG00000151892	GFRA1
ENSG00000110455	ACCS
ENSG00000126500	FLRT1
ENSG00000172977	KAT5
ENSG00000250303	RP11-356J5.12
ENSG00000109906	ZBTB16
ENSG00000172375	C2CD2L
ENSG00000149418	ST14
ENSG00000110442	COMMD9
ENSG00000110046	ATG2A
ENSG00000137726	FXYD6
ENSG00000110900	TSPAN11
ENSG00000139567	ACVRL1
ENSG00000076067	RBMS2
ENSG00000166268	MYRFL
ENSG00000139287	TPH2
ENSG00000067798	NAV3
ENSG00000177359	OVOS2
ENSG00000135426	TESPA1
ENSG00000258240	RP1-46F2.3
ENSG00000102755	FLT1
ENSG00000136111	TBC1D4
ENSG00000187498	COL4A1
ENSG00000186648	CARMIL3
ENSG00000119725	ZNF410
ENSG00000103653	CSK
ENSG00000103202	NME4
ENSG00000007541	PIGQ
ENSG00000008516	MMP25
ENSG00000166780	C16orf45
ENSG00000103485	QPRT
ENSG00000141258	SGSM2
ENSG00000161940	BCL6B
ENSG00000159842	ABR
ENSG00000072310	SREBF1
ENSG00000175832	ETV4
ENSG00000108852	MPP2
ENSG00000173868	PHOSPHO1
ENSG00000180891	CUEDC1
ENSG00000108622	ICAM2
ENSG00000261371	PECAM1
ENSG00000141404	GNAL
ENSG00000101670	LIPG
ENSG00000154065	ANKRD29
ENSG00000167306	MYO5B
ENSG00000117877	CD3EAP
ENSG00000105227	PRX
ENSG00000087076	HSD17B14
ENSG00000167766	ZNF83
ENSG00000144118	RALB
ENSG00000163492	CCDC141
ENSG00000124006	OBSL1
ENSG00000168505	GBX2
ENSG00000101187	SLCO4A1
ENSG00000198959	TGM2
ENSG00000196700	ZNF512B
ENSG00000157554	ERG
ENSG00000198911	SREBF2
ENSG00000099899	TRMT2A
ENSG00000128335	APOL2
ENSG00000182580	EPHB3
ENSG00000168993	CPLX1
ENSG00000180104	EXOC3
ENSG00000213949	ITGA1
ENSG00000070614	NDST1
ENSG00000113249	HAVCR1
ENSG00000170542	SERPINB9
ENSG00000111859	NEDD9
ENSG00000204371	EHMT2
ENSG00000204301	NOTCH4
ENSG00000096063	SRPK1
ENSG00000237742	RP11-624M8.1
ENSG00000106636	YKT6
ENSG00000106665	CLIP2
ENSG00000164867	NOS3
ENSG00000224729	PCOLCE-AS1
ENSG00000135253	KCP
ENSG00000128567	PODXL
ENSG00000158941	CCAR2
ENSG00000091879	ANGPT2
ENSG00000147697	GSDMC
ENSG00000008513	ST3GAL1
ENSG00000179950	PUF60
ENSG00000160447	PKN3
ENSG00000172889	EGFL7
ENSG00000196338	NLGN3
