probe,Sample,Object Id,target_probe,copies_rank,specific_rank,520 POU4F1 (Hb),570 CRH (LHb.2),620 MCOLN3 (LHb.3),690 ESRP1 (LHb.6)
570,Br8433,15086,570 CRH (LHb.2),46,1,2,78,0,0
570,Br8433,15978,570 CRH (LHb.2),62,2,0,58,0,0
570,Br8433,10264,570 CRH (LHb.2),67.5,3,5,54,0,0
570,Br8433,14751,570 CRH (LHb.2),73,4,4,51,0,0
570,Br8433,1719,570 CRH (LHb.2),75.5,5,6,49,0,0
570,Br8433,15411,570 CRH (LHb.2),86.5,6,0,42,0,0
570,Br8433,16884,570 CRH (LHb.2),98.5,7,2,39,0,0
570,Br8433,4265,570 CRH (LHb.2),106,8,53,37,0,0
570,Br8433,16319,570 CRH (LHb.2),111,9,15,36,0,0
570,Br8433,16723,570 CRH (LHb.2),111,10,0,36,0,0
620,Br8433,7623,620 MCOLN3 (LHb.3),9,1,1,0,64,0
620,Br8433,4903,620 MCOLN3 (LHb.3),14.5,2,5,0,49,0
620,Br8433,4200,620 MCOLN3 (LHb.3),16,3,24,0,45,0
620,Br8433,3312,620 MCOLN3 (LHb.3),19,4,13,0,42,0
620,Br8433,11619,620 MCOLN3 (LHb.3),20,5,8,0,38,0
620,Br8433,6074,620 MCOLN3 (LHb.3),21.5,6,3,0,37,0
620,Br8433,3723,620 MCOLN3 (LHb.3),23,7,1,0,35,0
620,Br8433,6062,620 MCOLN3 (LHb.3),26,8,3,0,33,0
620,Br8433,5107,620 MCOLN3 (LHb.3),27.5,9,10,0,32,0
620,Br8433,8634,620 MCOLN3 (LHb.3),33.5,10,37,0,29,0
690,Br8433,5653,690 ESRP1 (LHb.6),1,1,0,0,0,100
690,Br8433,8990,690 ESRP1 (LHb.6),2,2,0,0,0,87
690,Br8433,8991,690 ESRP1 (LHb.6),3,3,0,0,0,85
690,Br8433,8992,690 ESRP1 (LHb.6),4,4,0,0,0,66
690,Br8433,6740,690 ESRP1 (LHb.6),5.5,5,0,0,0,62
690,Br8433,14063,690 ESRP1 (LHb.6),5.5,6,0,0,0,62
690,Br8433,2562,690 ESRP1 (LHb.6),7,7,0,0,0,61
690,Br8433,5646,690 ESRP1 (LHb.6),8,8,0,0,0,60
690,Br8433,7425,690 ESRP1 (LHb.6),9,9,0,0,0,58
690,Br8433,546,690 ESRP1 (LHb.6),11,10,0,0,0,53
