"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","all","BP","GO:0043627","response to estrogen","5/134","58/14153",0.000216307118820239,0.461815698681209,0.452195724186309,"ZNF366/SERPINB9/TPH2/SMAD6/HAPLN3",5
"2","all","BP","GO:0061298","retina vasculature development in camera-type eye","3/134","18/14153",0.000610250998707905,0.581360471797898,0.569250288174843,"FZD4/ACVRL1/COL4A1",3
"3","all","BP","GO:0010876","lipid localization","11/134","398/14153",0.0014109269780984,0.581360471797898,0.569250288174843,"SLC10A5/ACSL5/ATG2A/FZD4/C2CD2L/NME4/SREBF1/LIPG/SLCO4A1/APOL2/SREBF2",11
"4","all","BP","GO:0006869","lipid transport","10/134","357/14153",0.00210487941340394,0.581360471797898,0.569250288174843,"SLC10A5/ACSL5/ATG2A/FZD4/C2CD2L/NME4/LIPG/SLCO4A1/APOL2/SREBF2",10
"5","all","BP","GO:0018108","peptidyl-tyrosine phosphorylation","9/134","308/14153",0.00264128490215557,0.581360471797898,0.569250288174843,"HES5/ERRFI1/IL12RB2/EPHB3/NEDD9/GFRA1/FLT1/CSK/PECAM1",9
"6","all","BP","GO:0018212","peptidyl-tyrosine modification","9/134","310/14153",0.00275797111884904,0.581360471797898,0.569250288174843,"HES5/ERRFI1/IL12RB2/EPHB3/NEDD9/GFRA1/FLT1/CSK/PECAM1",9
"7","all","BP","GO:0001569","branching involved in blood vessel morphogenesis","3/134","30/14153",0.00279475986531463,0.581360471797898,0.569250288174843,"GBX2/NOTCH4/COL4A1",3
"8","all","BP","GO:1902893","regulation of miRNA transcription","4/134","62/14153",0.00280322979670562,0.581360471797898,0.569250288174843,"SMAD6/SREBF1/ZNF512B/SREBF2",4
"9","all","BP","GO:0061614","miRNA transcription","4/134","63/14153",0.00297161774065614,0.581360471797898,0.569250288174843,"SMAD6/SREBF1/ZNF512B/SREBF2",4
"10","all","BP","GO:0034405","response to fluid shear stress","3/134","31/14153",0.00307295805669153,0.581360471797898,0.569250288174843,"NOS3/SMAD6/SREBF2",3
"11","all","BP","GO:0035092","sperm DNA condensation","2/134","10/14153",0.00380964991550063,0.581360471797898,0.569250288174843,"SRPK1/KAT5",2
"12","all","BP","GO:0061299","retina vasculature morphogenesis in camera-type eye","2/134","10/14153",0.00380964991550063,0.581360471797898,0.569250288174843,"FZD4/COL4A1",2
"13","all","BP","GO:0001525","angiogenesis","11/134","453/14153",0.00384457052121815,0.581360471797898,0.569250288174843,"GBX2/EPHB3/NOTCH4/NOS3/ANGPT2/EGFL7/ROBO4/ACVRL1/FLT1/COL4A1/TNFRSF12A",11
