"","Cluster","ONTOLOGY","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","all","BP","GO:0052652","cyclic purine nucleotide metabolic process","8/421","33/13840",4.88065978611698e-06,0.0121582002049876,0.0118299891431908,"EPHA2/GUCY1A1/PDE4D/PDE8B/ADCY1/PDE7A/GUCY1A2/ADCY4",8
"2","all","BP","GO:0009187","cyclic nucleotide metabolic process","8/421","34/13840",6.21426026321881e-06,0.0121582002049876,0.0118299891431908,"EPHA2/GUCY1A1/PDE4D/PDE8B/ADCY1/PDE7A/GUCY1A2/ADCY4",8
"3","all","BP","GO:0046058","cAMP metabolic process","6/421","22/13840",3.7696250919104e-05,0.0491684766154846,0.0478411717804909,"EPHA2/PDE4D/PDE8B/ADCY1/PDE7A/ADCY4",6
"4","all","BP","GO:0003300","cardiac muscle hypertrophy","9/421","70/13840",0.000257329992837857,0.17022804478699,0.165632732455793,"ERRFI1/RGS4/RYR2/TTN/KLF15/SORBS2/IL6ST/GLRX3/CAMTA2",9
"5","all","BP","GO:0001885","endothelial cell development","8/421","56/13840",0.000270839842620845,0.17022804478699,0.165632732455793,"PDE4D/NOTCH4/AFDN/ROBO4/CDH5/PECAM1/FASN/SOX18",8
"6","all","BP","GO:0014897","striated muscle hypertrophy","9/421","71/13840",0.000286906144924363,0.17022804478699,0.165632732455793,"ERRFI1/RGS4/RYR2/TTN/KLF15/SORBS2/IL6ST/GLRX3/CAMTA2",9
"7","all","BP","GO:0061028","establishment of endothelial barrier","7/421","44/13840",0.00033185485424124,0.17022804478699,0.165632732455793,"PDE4D/AFDN/ROBO4/CDH5/PECAM1/FASN/SOX18",7
"8","all","BP","GO:0014896","muscle hypertrophy","9/421","73/13840",0.000354528391911155,0.17022804478699,0.165632732455793,"ERRFI1/RGS4/RYR2/TTN/KLF15/SORBS2/IL6ST/GLRX3/CAMTA2",9
"9","all","BP","GO:0003013","circulatory system process","29/421","483/13840",0.00039152885333067,0.17022804478699,0.165632732455793,"SLC2A1/FAAH/RGS4/RYR2/ITGB1BP1/EPAS1/TTN/ABCC5/HOPX/GUCY1A1/ITGA1/PDE4D/HRH2/SGK1/NOS3/GLRX3/NAV2/SCN4B/OLR1/ACVRL1/SLC16A7/SLC8A3/CDH5/SLC7A5/ATP2A3/SREBF1/TBX2/SCN1B/CBS",29
"10","all","BP","GO:0008015","blood circulation","25/421","403/13840",0.000610535663632821,0.238902605179523,0.232453420564202,"FAAH/RGS4/RYR2/ITGB1BP1/EPAS1/TTN/HOPX/GUCY1A1/ITGA1/PDE4D/HRH2/SGK1/NOS3/GLRX3/NAV2/SCN4B/OLR1/ACVRL1/SLC8A3/CDH5/ATP2A3/SREBF1/TBX2/SCN1B/CBS",25
"11","all","BP","GO:0014823","response to activity","7/421","50/13840",0.000739588035137037,0.26309163468102,0.255989466324465,"RYR2/PPARGC1A/ANGPT2/TPH2/COL4A2/SLC7A5/MTFP1",7
"12","all","BP","GO:0009190","cyclic nucleotide biosynthetic process","4/421","16/13840",0.001148529544646,0.374516342349984,0.364406259910929,"GUCY1A1/ADCY1/GUCY1A2/ADCY4",4
"13","all","BP","GO:0030947","regulation of vascular endothelial growth factor receptor signaling pathway","5/421","28/13840",0.00140170305331233,0.421912619047011,0.410523072374955,"MMRN2/FZD4/ITGA5/TMEM204/CADM4",5
"14","all","BP","GO:0018108","peptidyl-tyrosine phosphorylation","19/421","294/13840",0.00168617595331454,0.423567813106833,0.412133584410243,"HES5/ERRFI1/EPHA2/IL12RB2/TTN/EPHB3/TNK2/IL6ST/NEDD9/FGFR1/GFRA1/ITGA5/FLT1/CSPG4/ZNF592/PLCG2/PECAM1/CADM4/MIF",19
