"","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"1","all","hsa00190","Oxidative phosphorylation","64/1958","116/7064",3.35794764157215e-10,5.73841611007174e-08,4.9470649582377e-08,"533/7388/515/4720/509/64077/5464/1351/4728/6392/10632/4704/1337/517/506/55967/479/4707/9377/7385/1327/4706/535/1353/10476/4729/498/51079/1340/1346/1329/4709/518/4719/514/4731/522/539/29796/4700/4710/4711/7384/10063/521/27068/4717/4724/1350/1347/9296/4708/4697/54205/9551/526/4715/7381/1345/9550/4702/1349/4694/54539",64
"2","all","hsa03010","Ribosome","70/1958","131/7064",3.40558819588827e-10,5.73841611007174e-08,4.9470649582377e-08,"6202/6125/65005/6229/6181/6188/6207/6230/6171/6128/6144/6235/6176/64963/6124/6218/6137/10573/6187/6210/6147/6143/6155/6169/51081/6154/9349/100526842/6209/6234/51073/64981/6142/6223/23521/6205/6203/6158/6193/6217/6201/6233/51263/6160/6227/6122/6138/3921/6165/6152/6164/6189/6133/6228/6208/6222/6206/6204/100529239/6224/6129/6156/6132/6130/6194/11224/6173/6134/6191/6170",70
"3","all","hsa05010","Alzheimer disease","147/1958","349/7064",2.08494167661461e-09,2.34208448339708e-07,2.01910141314257e-07,"7388/515/5710/5692/23385/4720/824/1131/2475/842/5686/10000/509/90550/7417/347688/79861/3799/5532/9776/10313/1351/64837/4728/6392/322/5682/23130/2915/50507/23621/81029/775/4704/2597/283375/4035/3798/488/1337/7132/3709/7480/10376/4891/517/506/55967/5706/801/3831/4707/1139/9377/7385/487/1327/4706/5595/5717/5709/4137/489/1856/9706/8678/8313/5718/201266/10476/4729/498/10297/51079/1340/55851/348/808/5605/3643/1346/208/1329/4709/841/80326/5707/5610/805/57142/5534/518/4719/3667/23236/1457/514/4731/522/351/539/29796/5594/7494/4700/1499/776/4710/5290/4711/5708/5894/7384/5291/291/5602/6622/4717/836/4724/1350/7416/1452/203068/3710/7280/1347/26100/4708/4697/54205/7979/23516/5533/3551/7419/4715/7381/1345/7186/2902/4702/1349/292/4694/54539/293",147
"4","all","hsa05012","Parkinson disease","110/1958","245/7064",3.66323637160254e-09,3.08627664307514e-07,2.66066641726921e-07,"11315/9927/7388/5567/515/5710/5692/4720/842/5686/509/90550/7417/347688/79861/3799/818/1351/64837/4728/6392/5682/1813/4704/283375/3798/1337/3709/10376/4891/517/506/55967/5706/801/3831/4707/9377/7385/1327/4706/5717/5709/4137/5718/201266/10476/4729/2774/498/51079/1340/808/9817/1346/6233/27429/1329/4709/5707/805/518/4719/5335/2778/514/6647/4731/522/539/29796/7494/4700/2771/4710/55669/4711/5708/7384/7318/291/5602/6622/817/4717/836/4724/1350/7416/203068/3710/7280/1347/5071/4708/4697/54205/7979/23516/7419/4715/7381/1345/7295/4702/1349/292/4694/54539/293",110
"5","all","hsa05415","Diabetic cardiomyopathy","86/1958","183/7064",1.44568680591346e-08,9.7439290718567e-07,8.40020123014977e-07,"7388/515/4720/6262/2475/6513/25874/142/183/10000/509/7417/818/1351/4728/6392/4704/2597/488/1337/2998/517/506/55967/9882/7043/4707/9377/7385/487/1327/4706/5164/5578/489/10476/4729/498/51079/1340/3643/1346/208/1329/4709/518/4719/3667/23236/514/4731/522/539/29796/4700/7048/4710/5290/4711/7384/5291/291/5602/817/4717/4724/1350/7416/1347/4708/4846/4697/5166/7419/4715/7381/1345/5524/4702/5160/1349/292/4694/54539/2539/293",86
"6","all","hsa05171","Coronavirus disease - COVID-19","91/1958","201/7064",5.19909431718305e-08,2.92015797481781e-06,2.51745619568863e-06,"6202/6125/3716/103/6403/6229/6181/6188/6207/834/6230/51135/6171/29110/7450/7132/6128/6144/6235/6176/6124/6218/5336/6137/6187/6210/5595/6147/6143/6155/5578/6169/6154/9349/6774/100526842/6209/6234/6142/6223/23521/6205/6203/6158/6193/6217/6201/6233/6160/5610/5335/6227/3455/5594/6122/6138/3921/5290/6165/6152/5291/5648/6164/6189/7098/6133/5602/3572/6228/6208/717/720/721/6222/6206/2162/6204/100529239/3551/6224/6129/6156/6132/6130/6194/11224/6173/6134/59272/6191/6170",91
"7","all","hsa05020","Prion disease","104/1958","246/7064",4.15232600259021e-07,1.99904837553271e-05,1.72337139355624e-05,"7388/5567/515/5710/5692/4720/6262/842/5686/509/90550/7417/347688/79861/3799/5532/90993/1351/10963/64837/4728/6392/4684/5682/775/4704/3798/1337/3709/10376/517/506/55967/5706/3831/4707/9377/7385/1327/4706/5595/5717/5709/5718/10476/4729/498/51079/1340/6261/1346/1329/4709/5707/5534/518/4719/1457/514/6647/4731/522/539/29796/5594/4700/776/4710/5290/4711/5708/7384/5291/291/5602/4717/836/4724/1350/7416/203068/3710/7280/1347/2534/858/4708/4697/54205/7979/5533/7419/4715/7381/1345/2902/116443/4702/4851/1349/292/4694/54539/293",104
"8","all","hsa05016","Huntington disease","115/1958","282/7064",9.4655412107248e-07,3.55202093567912e-05,3.06218265890188e-05,"7388/515/5710/5692/4720/127602/2475/842/5686/509/7019/7417/347688/79861/3799/10121/161/90993/9776/5436/1351/64837/4728/6392/5682/23130/2915/4704/3798/1337/10376/517/506/10540/55967/5706/83544/23186/3831/4707/9377/7385/1327/4706/5430/5717/163/5709/1213/9706/8678/5718/10476/4729/498/51079/1340/4294/1346/1768/1329/4709/841/5707/1639/518/4719/23236/7052/514/6874/6647/4731/522/539/29796/4700/4710/4711/5708/7384/3064/291/10891/5602/4717/836/6507/4724/1350/7416/203068/1769/7280/1347/3066/26100/4708/4697/54205/6804/7979/10671/7419/4715/7381/1345/7186/2902/4702/1349/292/4694/54539/293",115
"9","all","hsa05022","Pathways of neurodegeneration - multiple diseases","167/1958","440/7064",9.48610932377214e-07,3.55202093567912e-05,3.06218265890188e-05,"11315/9927/7388/515/5710/5692/4720/824/127602/6262/1131/2475/842/5686/509/10133/90550/7417/347688/79861/3799/5532/818/10121/9776/1351/64837/9973/4728/6392/5682/23130/6712/2915/50507/81029/775/4704/3798/29110/488/643246/1337/7132/3709/7480/10376/517/506/10540/55967/6311/5706/83544/801/3831/4287/4707/1139/80208/9377/7385/487/2521/1327/4706/5595/5717/5709/4137/5578/489/1856/9706/8678/8313/5718/10476/4729/498/10297/51079/1340/6261/4294/808/5605/1346/6233/27429/1768/1329/4709/841/80326/5707/805/5534/1639/518/4719/23236/84557/5335/9217/1457/514/6647/4731/522/351/539/29796/5594/7494/4700/1499/776/4710/55669/4711/5708/5894/7384/7318/3064/291/5602/6622/817/4717/836/4724/1350/55255/7416/1452/203068/3710/1769/7280/6310/1347/5071/26100/4708/4697/54205/6804/7979/5533/4741/10671/7419/4715/4747/7381/1345/7186/2902/7415/4702/1349/292/4694/54539/293",167
"10","all","hsa04260","Cardiac muscle contraction","42/1958","79/7064",1.42086452282161e-06,4.78831344190884e-05,4.12798535051332e-05,"7388/476/477/481/6262/7139/1351/775/488/1337/93589/4633/6547/7168/9377/7385/487/1327/482/489/782/1340/59284/59283/1346/478/1329/785/29796/776/55799/483/7384/1350/1347/444/7381/1345/7169/1349/10479/84679",42
