"Ontology","Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"CC","1","GO:0099572","postsynaptic specialization","17/93","356/14487",9.37690830292592e-11,1.58021818596253e-08,1.10892504278072e-08,"KCNH1/ERBB4/SEPTIN11/HOMER1/DLGAP2/LZTS1/PSD/NEURL1/LRRC4C/CHRM1/NRGN/ARHGAP32/SIPA1L1/CACNG3/PRRT2/BAIAP2/DRP2",17
"CC","1","GO:0098984","neuron to neuron synapse","17/93","366/14487",1.44312163101601e-10,1.58021818596253e-08,1.10892504278072e-08,"KCNH1/ERBB4/SEPTIN11/HOMER1/DLGAP2/LZTS1/PSD/NEURL1/LRRC4C/CHRM1/NRGN/ARHGAP32/SIPA1L1/CACNG3/PRRT2/BAIAP2/DRP2",17
"CC","1","GO:0014069","postsynaptic density","16/93","337/14487",3.87686552548827e-10,2.74791371296151e-08,1.92836050032386e-08,"KCNH1/ERBB4/HOMER1/DLGAP2/LZTS1/PSD/NEURL1/LRRC4C/CHRM1/NRGN/ARHGAP32/SIPA1L1/CACNG3/PRRT2/BAIAP2/DRP2",16
"CC","1","GO:0032279","asymmetric synapse","16/93","343/14487",5.01902048029499e-10,2.74791371296151e-08,1.92836050032386e-08,"KCNH1/ERBB4/HOMER1/DLGAP2/LZTS1/PSD/NEURL1/LRRC4C/CHRM1/NRGN/ARHGAP32/SIPA1L1/CACNG3/PRRT2/BAIAP2/DRP2",16
"BP","1","GO:0050804","modulation of chemical synaptic transmission","16/88","423/14006",7.13111492404095e-09,5.49743081784049e-06,4.96396908893218e-06,"WNT7A/HOMER1/RIMS1/DLGAP2/LZTS1/NEURL1/LRRC4C/NRGN/CACNB3/JPH4/SIPA1L1/RAB26/PRKCB/CACNG3/PRRT2/BAIAP2",16
"CC","1","GO:0097060","synaptic membrane","15/93","356/14487",7.36688169740117e-09,3.22669418346171e-07,2.26434679541173e-07,"KCNH1/ERBB4/GABRA2/GABRB1/RIMS1/LZTS1/LRRC4C/CHRM1/PDE2A/NRGN/DDN/GABRG3/CACNG3/PRRT2/BAIAP2",15
"BP","1","GO:0099177","regulation of trans-synaptic signaling","16/88","424/14006",7.37415267315961e-09,5.49743081784049e-06,4.96396908893218e-06,"WNT7A/HOMER1/RIMS1/DLGAP2/LZTS1/NEURL1/LRRC4C/NRGN/CACNB3/JPH4/SIPA1L1/RAB26/PRKCB/CACNG3/PRRT2/BAIAP2",16
"CC","1","GO:0045211","postsynaptic membrane","12/93","260/14487",9.94883622939198e-08,3.63132522372807e-06,2.54829840261619e-06,"KCNH1/ERBB4/GABRA2/GABRB1/LZTS1/LRRC4C/CHRM1/NRGN/DDN/GABRG3/CACNG3/PRRT2",12
"CC","-1","GO:0031012","extracellular matrix","20/172","419/14487",1.25674086199144e-07,3.36806551013705e-05,3.10878002703145e-05,"WNT4/NTNG1/HMCN1/MATN3/COL4A4/COL4A3/IMPG2/ADAMTS2/WNT2/ADAMTSL1/GDF10/CTSC/ANXA2/THSD4/CBLN1/MMP15/WNT3/LGALS3BP/EMILIN2/SRPX",20
"CC","1","GO:0043197","dendritic spine","10/93","170/14487",1.32632271221772e-07,4.05168945688721e-06,2.84329084693839e-06,"SEPTIN11/HOMER1/LZTS1/PSD/NEURL1/NRGN/ARHGAP32/SIPA1L1/PRRT2/BAIAP2",10
"CC","1","GO:0044309","neuron spine","10/93","172/14487",1.48006920799533e-07,4.05168945688721e-06,2.84329084693839e-06,"SEPTIN11/HOMER1/LZTS1/PSD/NEURL1/NRGN/ARHGAP32/SIPA1L1/PRRT2/BAIAP2",10
"BP","1","GO:0050808","synapse organization","14/88","409/14006",2.36095477564099e-07,0.000117339452349357,0.000105953023089292,"ERBB4/NGEF/WNT7A/GABRA2/SEPTIN11/SPARCL1/HOMER1/ADGRB3/NEURL1/LRRC4C/CACNB3/SIPA1L1/BAIAP2/DRP2",14
"CC","1","GO:0098978","glutamatergic synapse","13/93","352/14487",3.70984908283414e-07,9.02729943489641e-06,6.33494697185713e-06,"ERBB4/WNT7A/SEPTIN11/SPARCL1/HOMER1/DLGAP2/LRRC4C/CHRM1/NRGN/CACNG3/PRRT2/BAIAP2/DRP2",13
"BP","-1","GO:0034308","primary alcohol metabolic process","8/169","68/14006",1.52036238160235e-06,0.00376897834399224,0.00354324453986064,"WNT4/RPE65/CYP27C1/AKR1C2/ALDH3B1/RDH12/DHRS13/TTR",8
"CC","-1","GO:0062023","collagen-containing extracellular matrix","16/172","324/14487",1.5818775455945e-06,0.000211971591109662,0.000195653275376161,"NTNG1/HMCN1/MATN3/COL4A4/COL4A3/IMPG2/ADAMTS2/WNT2/GDF10/CTSC/ANXA2/THSD4/CBLN1/LGALS3BP/EMILIN2/SRPX",16
"BP","1","GO:0060078","regulation of postsynaptic membrane potential","8/88","131/14006",1.62146841204684e-06,0.000604402350590459,0.00054575213131787,"WNT7A/GABRA2/GABRB1/RIMS1/CHRM1/CACNB3/GABRG3/BAIAP2",8
"CC","1","GO:0032589","neuron projection membrane","6/93","59/14487",2.03746124364612e-06,4.462040123585e-05,3.13125622707719e-05,"KCNH1/GABRA2/ADGRV1/RIPOR2/DDN/GABRG3",6
"BP","1","GO:0042391","regulation of membrane potential","12/88","391/14006",5.73389723325015e-06,0.0017098481549552,0.00154392727606883,"KCNH1/RYR2/WNT7A/GABRA2/GABRB1/RIMS1/CHRM1/CACNB3/KCNH3/GABRG3/BAIAP2/CACNA1I",12
"BP","1","GO:0021879","forebrain neuron differentiation","5/88","46/14006",9.76927236492408e-06,0.00242766418268363,0.00219208760609437,"DLX2/ERBB4/DLX5/LHX6/SOX1",5
"BP","-1","GO:0034754","cellular hormone metabolic process","8/169","87/14006",9.89658498142862e-06,0.0122668170844808,0.0115321258678331,"WNT4/RPE65/CYP27C1/AKR1C2/RDH12/DHRS13/TTR/CYP2S1",8
"KEGG","-1","hsa04310","Wnt signaling pathway","10/79","148/6255",1.4446165755516e-05,0.00262920216750391,0.0024634514235722,"54361/81839/59352/1499/51176/7472/6934/85407/7473/5332",10
"BP","-1","GO:0001523","retinoid metabolic process","7/169","68/14006",1.7169304939402e-05,0.0131975599531872,0.0124071241529294,"RPE65/SDC1/CYP27C1/RDH12/DHRS13/TTR/CYP2S1",7
"BP","1","GO:0016358","dendrite development","9/88","238/14006",1.80666871772087e-05,0.00340898363343841,0.00307818141633501,"NGEF/WNT7A/PHACTR1/ADGRB3/LZTS1/CAMK1D/NEURL1/SIPA1L1/BAIAP2",9
"BP","1","GO:0048167","regulation of synaptic plasticity","8/88","184/14006",1.99885364879496e-05,0.00340898363343841,0.00307818141633501,"RIMS1/LZTS1/NEURL1/NRGN/JPH4/SIPA1L1/PRRT2/BAIAP2",8
"BP","-1","GO:0060070","canonical Wnt signaling pathway","14/169","307/14006",2.12949737042149e-05,0.0131975599531872,0.0124071241529294,"WNT4/WLS/LGR6/SDC1/LYPD6/RBMS3/CTNNB1/LEF1/DAB2/WNT2/TNKS2/TCF7L2/NKD1/WNT3",14
"BP","1","GO:0021872","forebrain generation of neurons","5/88","54/14006",2.16667261354575e-05,0.00340898363343841,0.00307818141633501,"DLX2/ERBB4/DLX5/LHX6/SOX1",5
"BP","1","GO:2000463","positive regulation of excitatory postsynaptic potential","4/88","27/14006",2.28637399962335e-05,0.00340898363343841,0.00307818141633501,"WNT7A/RIMS1/CACNB3/BAIAP2",4
"KEGG","1","hsa05032","Morphine addiction","6/44","85/6255",2.46096125899437e-05,0.00361761305072172,0.0032899166304451,"2555/2560/8622/5138/2567/5579",6
"CC","1","GO:0098839","postsynaptic density membrane","6/93","92/14487",2.72099121249054e-05,0.000541724614123117,0.000380157623946047,"KCNH1/ERBB4/LRRC4C/CHRM1/CACNG3/PRRT2",6
"BP","-1","GO:0016101","diterpenoid metabolic process","7/169","74/14006",2.99962573714898e-05,0.0148721444047847,0.0139814134358902,"RPE65/SDC1/CYP27C1/RDH12/DHRS13/TTR/CYP2S1",7
"BP","1","GO:0048813","dendrite morphogenesis","7/88","142/14006",3.03908182838226e-05,0.00411933727828905,0.00371960350095781,"NGEF/WNT7A/PHACTR1/ADGRB3/LZTS1/SIPA1L1/BAIAP2",7
"CC","1","GO:0099699","integral component of synaptic membrane","7/93","142/14487",3.51669386519838e-05,0.000641796630398703,0.000450383600279792,"KCNH1/ERBB4/LRRC4C/CHRM1/GABRG3/CACNG3/PRRT2",7
"BP","-1","GO:0042572","retinol metabolic process","5/169","32/14006",3.72880282788784e-05,0.0154061703505566,0.014483455194638,"RPE65/CYP27C1/RDH12/DHRS13/TTR",5
"BP","1","GO:0050773","regulation of dendrite development","7/88","150/14006",4.31834257694962e-05,0.0053655406518599,0.00484487732975312,"NGEF/ADGRB3/LZTS1/CAMK1D/NEURL1/SIPA1L1/BAIAP2",7
"BP","-1","GO:0006081","cellular aldehyde metabolic process","6/169","54/14006",4.5153210399298e-05,0.01599068693998,0.0150329635825633,"WNT4/RPE65/CYP27C1/HOGA1/ALDH3B1/DHRS13",6
"CC","1","GO:0043204","perikaryon","7/93","148/14487",4.58256478359165e-05,0.000771985913543517,0.000541744500732293,"KCNH1/CPNE5/NEURL1/DDN/KIF5A/RBFOX3/DRP2",7
"MF","1","GO:0022836","gated channel activity","9/88","268/13992",4.62697142753319e-05,0.00780237615239254,0.00638791030020442,"KCNH1/RYR2/GABRA2/GABRB1/CACNB3/KCNH3/GABRG3/CACNG3/CACNA1I",9
"BP","-1","GO:0006721","terpenoid metabolic process","7/169","81/14006",5.40044804827714e-05,0.0167346383895988,0.0157323578669547,"RPE65/SDC1/CYP27C1/RDH12/DHRS13/TTR/CYP2S1",7
"BP","1","GO:0010975","regulation of neuron projection development","12/88","492/14006",5.59574995442835e-05,0.00641789475542513,0.00579511270584118,"NGEF/WNT7A/CPNE5/ADGRB3/RIMS1/LZTS1/CAMK1D/NEURL1/LRRC4C/SIPA1L1/BAIAP2/CDH4",12
"CC","1","GO:0099240","intrinsic component of synaptic membrane","7/93","153/14487",5.66138540128568e-05,0.000885602430629689,0.000621475389915571,"KCNH1/ERBB4/LRRC4C/CHRM1/GABRG3/CACNG3/PRRT2",7
"BP","1","GO:0050807","regulation of synapse organization","8/88","215/14006",6.06789566559127e-05,0.0064623088838547,0.00583521695961747,"NGEF/WNT7A/SEPTIN11/HOMER1/ADGRB3/NEURL1/SIPA1L1/BAIAP2",8
"MF","1","GO:0022851","GABA-gated chloride ion channel activity","3/88","13/13992",6.56909795697852e-05,0.00780237615239254,0.00638791030020442,"GABRA2/GABRB1/GABRG3",3
