probe,Sample,Object Id,target_probe,copies_rank,specific_rank,520 POU4F1 (Hb),570 SEMA3D (LHb.5/1),620 TLE2 (LHb.4),690 ONECUT2 (LHb.1)
570,Br8433,18298,570 SEMA3D (LHb.5/1),336.5,1,0,44,0,0
570,Br8433,17762,570 SEMA3D (LHb.5/1),495.5,2,0,34,0,0
570,Br8433,5469,570 SEMA3D (LHb.5/1),587,3,0,31,0,0
570,Br8433,15748,570 SEMA3D (LHb.5/1),707.5,4,0,27,0,0
570,Br8433,17172,570 SEMA3D (LHb.5/1),707.5,5,0,27,0,0
570,Br8433,17588,570 SEMA3D (LHb.5/1),707.5,6,0,27,0,0
570,Br8433,17902,570 SEMA3D (LHb.5/1),792,7,0,25,0,0
570,Br8433,5485,570 SEMA3D (LHb.5/1),849,8,0,24,0,0
570,Br8433,17332,570 SEMA3D (LHb.5/1),968.5,9,0,22,0,0
570,Br8433,5496,570 SEMA3D (LHb.5/1),1031.5,10,0,21,0,0
620,Br8433,5104,620 TLE2 (LHb.4),19,1,0,0,252,0
620,Br8433,8776,620 TLE2 (LHb.4),19,2,0,0,252,0
620,Br8433,14450,620 TLE2 (LHb.4),33,3,0,0,229,0
620,Br8433,5843,620 TLE2 (LHb.4),43,4,0,0,222,0
620,Br8433,2652,620 TLE2 (LHb.4),44.5,5,0,0,219,0
620,Br8433,1876,620 TLE2 (LHb.4),53.5,6,0,0,212,0
620,Br8433,5089,620 TLE2 (LHb.4),67,7,0,0,196,0
620,Br8433,975,620 TLE2 (LHb.4),76,8,0,0,189,0
620,Br8433,20607,620 TLE2 (LHb.4),83,9,0,0,184,0
620,Br8433,2297,620 TLE2 (LHb.4),85,10,0,0,182,0
690,Br8433,347,690 ONECUT2 (LHb.1),2,1,0,0,0,198
690,Br8433,16117,690 ONECUT2 (LHb.1),11,2,3,0,0,110
690,Br8433,346,690 ONECUT2 (LHb.1),20.5,3,0,0,0,90
690,Br8433,15196,690 ONECUT2 (LHb.1),32,4,0,0,0,80
690,Br8433,3537,690 ONECUT2 (LHb.1),42.5,5,0,0,0,74
690,Br8433,344,690 ONECUT2 (LHb.1),45,6,0,0,0,70
690,Br8433,16085,690 ONECUT2 (LHb.1),52,7,0,0,0,65
690,Br8433,20707,690 ONECUT2 (LHb.1),88.5,8,0,0,0,51
690,Br8433,4861,690 ONECUT2 (LHb.1),96,9,9,0,0,50
690,Br8433,17196,690 ONECUT2 (LHb.1),111,10,0,0,0,47
