# MEAN_SAMPLE_SIZE = 39525
# TOTAL_GENES = 27961
# TEST_DIRECTION = one-sided, positive (set), two-sided (covar)
# CONDITIONED_INTERNAL = gene size, gene density, inverse mac, log(gene size), log(gene density), log(inverse mac)
VARIABLE        TYPE  NGENES         BETA     BETA_STD           SE            P
Astrocyte        SET     658    -0.039916   -0.0060509     0.037695      0.85518
Endo             SET    4511     0.028208     0.010376     0.014744     0.027865
Excit.Thal       SET     254    0.0025895   0.00024569     0.064832      0.48407
Hb               SET      54     -0.18882   -0.0082902      0.14317      0.90639
Inhib.Thal       SET     442      0.10994     0.013713      0.04947     0.013134
LHb              SET      21     -0.31944   -0.0087511      0.24389      0.90486
MHb              SET     113     -0.10055   -0.0063796     0.093592      0.85867
Microglia        SET    5290      0.01761    0.0068973      0.01403      0.10472
OPC              SET     168    -0.050827    -0.003928     0.076289      0.74737
Oligo            SET     229     0.025198    0.0022711      0.06441      0.34782
