"","0.5:1e-04","0.5:1e-05","0.5:1e-06","0.75:1e-04","0.75:1e-05","0.75:1e-06","0.9:1e-04","0.9:1e-05","0.9:1e-06"
"0",0,0,0,0,0,0,0,0,0
"0.01",2.32791884990924e-07,2.07452306444367e-08,1.88836035697193e-09,4.38777641997845e-08,3.90737531219543e-09,3.55466989176989e-10,7.47665240830031e-09,6.65713706382576e-10,6.05553385213398e-11
"0.02",9.60036073638371e-07,8.57798625464312e-08,7.82504894214497e-09,1.76537151341805e-07,1.57287723956401e-08,1.43148459752496e-09,2.99364051326023e-08,2.66573652041302e-09,2.4250046415375e-10
"0.03",2.27180965717277e-06,2.03883276261863e-07,1.86655847445039e-08,4.01079747525124e-07,3.57645612014679e-08,3.25717408600212e-09,6.74687606894153e-08,6.00872507305894e-09,5.46673706303125e-10
"0.04",4.33019958068215e-06,3.91014931877542e-07,3.5977787193886e-08,7.22753028314926e-07,6.45239424112987e-08,5.88198134643392e-09,1.20223274446829e-07,1.07091500112233e-08,9.74477165627263e-10
"0.05",7.38862825389042e-06,6.72493440156963e-07,6.22777054370971e-08,1.14906934089998e-06,1.02738054841289e-07,9.3770712306096e-09,1.88410133605821e-07,1.67873585033007e-08,1.5278827092402e-09
"0.06",1.18218088901445e-05,1.08644790230983e-06,1.01409490027571e-07,1.68997597405074e-06,1.51378793944446e-07,1.38373357216892e-08,2.72300970549644e-07,2.4269664389287e-08,2.20944229578635e-09
"0.07",1.81695224245049e-05,1.68900046448872e-06,1.59127600873887e-07,2.35807988469006e-06,2.11683820916519e-07,1.9384074012585e-08,3.72229913447875e-07,3.31884624227285e-08,3.02229918869301e-09
"0.08",2.71987463008605e-05,2.56185959701671e-06,2.43970373348112e-07,3.16893176521837e-06,2.85188401116798e-07,2.61684244273752e-08,4.88594877667836e-07,4.35823717115369e-08,3.9702042764489e-09
"0.09",3.99903358749842e-05,3.82330219195204e-06,3.68557518615198e-07,4.14137533710779e-06,3.73764880046146e-07,3.43756453302646e-08,6.21859103433486e-07,5.54964039167771e-08,5.05753283697175e-09
"0.1",5.80585419317492e-05,5.64392900304078e-06,5.51506534662849e-07,5.29796904502611e-06,4.7967079608302e-07,4.42303713654724e-08,7.72552944949823e-07,6.89821614274777e-08,6.28930663104654e-09
"0.11",8.351421619468e-05,8.26912978035832e-06,8.20252447741865e-07,6.66548873107242e-06,6.05606842229989e-07,5.60029954632668e-08,9.41275916321871e-07,8.40980630689714e-08,7.67121710598673e-09
"0.12",0.000119285664531787,1.20509382260936e-05,1.21518300477685e-06,8.27552140603149e-06,7.54786129819607e-07,7.00173636847268e-08,1.12869900370516e-06,1.00909600675436e-07,9.20965370632132e-09
"0.13",0.000169414769479959,1.74929489318298e-05,1.79568273006581e-06,1.01651619254239e-05,9.31016479688296e-07,8.66600023963215e-08,1.33556724979389e-06,1.1948962619357e-07,1.0911733627772e-08
"0.14",0.000239450166982458,2.53132744040263e-05,2.6489346877101e-06,1.23778262343111e-05,1.13879778018688e-06,1.06391145449081e-07,1.56270262130498e-06,1.39918670760686e-07,1.27853367892783e-08
"0.15",0.000336963768715393,3.65322130636558e-05,3.90268555550133e-06,1.49641969044989e-05,1.38343680355923e-06,1.29757877442849e-07,1.81100716933891e-06,1.62285298088705e-07,1.48391436916029e-08
"0.16",0.000472221460009803,5.25934537234374e-05,5.74367297601075e-06,1.79833189476453e-05,1.67118228366903e-06,1.57409768331007e-07,2.08146649249841e-06,1.86686492154031e-07,1.70826768286503e-08
