"Image Location","Analysis Region","Algorithm Name","Object Id","XMin","XMax","YMin","YMax","Non Fluoro Nuclei","POU4F1+ Nuclei","CHAT+ Nuclei","CHAT+POU4F1-","EBF3+ Nuclei","EBF3+POU4F1-","CCK+ Nuclei","CCK+POU4F1-","CHAT+EBF3+","CHAT+EBF3+POU4F1-","EBF3+CCK+","EBF3+CCK+POU4F1-","CHAT+CCK+","CHAT+CCK+POU4F1-","CHAT+CCK+EBF3+","POU4F1-CCK+CHAT+EBF3+","20x DAPI Positive","20x DAPI Positive Nucleus","20x DAPI Nucleus Intensity","20x DAPI Positive Cytoplasm","20x DAPI Cytoplasm Intensity","POU4F1 - 520 Copies","POU4F1 - 520 Area (µm²)","POU4F1 - 520 Classification","POU4F1 - 520 Cell Intensity","POU4F1 - 520 Avg Intensity","CHAT - 570 Copies","CHAT - 570 Area (µm²)","CHAT - 570 Classification","CHAT - 570 Cell Intensity","CHAT - 570 Avg Intensity","EBF3 - 620 Copies","EBF3 - 620 Area (µm²)","EBF3 - 620 Classification","EBF3 - 620 Cell Intensity","EBF3 - 620 Avg Intensity","CCK - 690 Copies","CCK - 690 Area (µm²)","CCK - 690 Classification","CCK - 690 Cell Intensity","CCK - 690 Avg Intensity","Cell Area (µm²)","Cytoplasm Area (µm²)","Nucleus Area (µm²)","Nucleus Perimeter (µm)","Nucleus Roundness"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","0","5293","5318","393","415","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3411.4844","0","236.79509","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.81435","58.859585","20.954758","22.01077","0.642076"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","1","5271","5296","395","416","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2968.2354","0","269.3758","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.255554","58.487057","20.768494","21.79498","0.637383"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","2","5442","5472","446","475","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3352.665","0","394.43097","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","127.078964","86.3336","40.74536","28.484526","0.872557"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","3","5315","5347","470","493","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3315.1414","0","335.98596","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112.270935","82.93427","29.33666","25.46344","0.660885"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","4","5306","5331","492","512","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","2621.1333","0","269.18982","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","73.900444","61.32759","12.572855","16.40018","0.651004"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","5","5212","5251","515","554","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3612.464","0","303.46658","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","191.20053","122.65518","68.54534","45.31629","0.566415"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","6","5454","5478","526","553","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3429.9163","0","326.71158","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","93.69105","70.87365","22.817404","21.79498","0.843212"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","7","5387","5417","560","592","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3379.821","0","352.43112","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","138.95332","91.59557","47.357754","31.074028","0.857074"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","8","5441","5471","567","592","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3457.1057","0","359.67807","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","112.41064","80.28001","32.13063","25.46344","0.797435"
"\\10.17.9.46\Neural_Plasticity\Kelsey\Hb_SCZ_Rebuttal_RNAscope\Br8433_MHb_Panel_20X\Br8433_MHb_Panel_20X_MaxIntensity_Stitched_UNMIX.nd2","Layer 1","16Phenotype_MHb_Panel","9","5301","5330","577","612","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","3630.985","0","350.31833","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","145.98482","96.11249","49.872322","33.23195","0.760712"
